,mice_id,num_stim,condition,decision_score,duration_reward,max_instance_speed2safezone,distance_under_threat,latency_to_first_escape,latent1D,change_trial
217,idm40_78F3,6,water_low,2,3.866666667,54.30020151,90.06980706,3.766666667,-24.37431285264894,3
218,idm40_78F3,7,water_low,2,3.166666667,33.3949508,93.78302763,3.166666667,-26.134821238917056,3
219,idm40_78F3,8,water_low,2,5.166666667,50.54871244,72.19320136,5.366666667,-6.121467068160212,3
220,idm40_78F3,9,water_low,2,2.366666667,45.5939888,74.33560594,3.866666667,-7.986045512168911,3
221,idm40_78F3,10,water_low,2,1.566666667,55.35022559,69.40133278,1.433333333,-4.193185961683006,3
232,idm40_8DA3,1,water_low,2,8.166666667,66.13485892,-9.535577425,8.6,-27.496297074728524,3
233,idm40_8DA3,2,water_low,2,1.866666667,69.40778299,74.72034436,6.633333333,56.58797691108976,3
234,idm40_8DA3,3,water_low,0,13.96666667,54.53988771,-11.4784299,13.8,-31.81104701873466,3
235,idm40_8DA3,4,water_low,0,12.03333333,53.03940155,-10.7118608,11.86666667,-31.01731187192589,3
236,idm40_8DA3,5,water_low,2,7.333333333,59.40769036,34.74674709,7.0,15.32135954077269,3
237,idm40_8DA3,6,water_low,0,8.733333333,59.46873389,-10.47353656,8.766666667,-29.45124519405647,3
238,idm40_8DA3,7,water_low,2,10.0,72.4759381,-7.646260067,9.933333333,-24.95000409548222,3
239,idm40_8DA3,8,water_low,2,3.2,74.05829571,101.2881085,3.166666667,83.47840091629068,3
240,idm40_8DA3,9,water_low,0,11.43333333,30.49300494,-10.23475477,2.433333333,-33.24417140451294,3
241,idm40_8DA3,10,water_low,2,4.866666667,46.72885897,43.62469369,4.7,22.582339291287525,3
242,idm40_CDC3,1,water_low,2,4.533333333,63.56397324,7.243290018,7.633333333,-28.855699676127227,6
243,idm40_CDC3,2,water_low,2,6.166666667,63.0544969,58.5731253,6.7,21.98767159985447,6
244,idm40_CDC3,3,water_low,2,6.166666667,63.90682697,80.79495085,6.2,44.14794439377493,6
245,idm40_CDC3,4,water_low,2,7.3,61.73610112,19.0741061,7.366666667,-17.437214021679583,6
246,idm40_CDC3,5,water_low,2,1.233333333,43.00211036,106.1636556,0.933333333,67.82913334659176,6
247,idm40_CDC3,6,water_low,0,9.1,34.51375837,-8.990912399,8.9,-48.12890602869307,6
248,idm40_CDC3,7,water_low,0,13.5,43.02861645,-13.68600257,10.33333333,-52.28234125572879,6
249,idm40_CDC3,8,water_low,2,10.26666667,45.63841699,30.35860259,6.566666667,-7.931012919344003,6
250,idm40_CDC3,9,water_low,2,5.433333333,46.43157682,4.136513465,7.366666667,-33.639381432065,6
251,idm40_CDC3,10,water_low,2,3.333333333,60.84893158,91.14736768,5.733333333,54.30980599341651,6
355,idm41_08E3,1,sucrose_high,3,0.0,82.57083671,95.60358405,0.3,15.060145426665079,5
356,idm41_08E3,2,sucrose_high,3,0.0,84.6104962,95.23353276,0.333333333,13.015135595548285,5
357,idm41_08E3,3,sucrose_high,3,0.0,100.0246884,92.96992041,0.466666667,-2.4314305591725978,5
358,idm41_08E3,4,sucrose_high,3,0.0,85.30016391,96.77321214,0.266666667,12.348748201132416,5
359,idm41_08E3,5,sucrose_high,3,0.0,108.795614,93.39427313,0.366666667,-11.19494238379157,5
360,idm41_08E3,6,sucrose_high,3,0.0,112.199515,98.20642343,0.3,-14.5259833102125,5
361,idm41_08E3,7,sucrose_high,3,0.0,109.8901582,94.5665008,0.233333333,-12.271672970169254,5
350,idm41_7A33,1,sucrose_high,3,0.0,74.98193651,99.79434671,0.433333333,-8.128488957782517,3
351,idm41_7A33,2,sucrose_high,3,0.0,73.01797743,99.24233661,0.4,-10.021490041315774,3
352,idm41_7A33,3,sucrose_high,3,0.0,99.55443653,96.08260442,0.433333333,16.700847662569828,3
353,idm41_7A33,4,sucrose_high,2,0.0,87.4294695,99.29502311,0.8,4.30418199062025,3
354,idm41_7A33,5,sucrose_high,2,0.0,79.99125489,97.10930188,0.666666667,-2.8550506540918374,3
342,idm41_7C93,1,sucrose_high,3,2.066666667,78.8786059,92.8032671,0.166666667,31.67348888596292,3
343,idm41_7C93,2,sucrose_high,2,1.4,87.2417404,103.3000599,1.2,24.47024314343014,3
344,idm41_7C93,3,sucrose_high,3,0.0,125.8678995,93.6707312,0.133333333,-15.000245715549992,3
345,idm41_7C93,4,sucrose_high,3,0.0,119.4357058,90.29251884,0.1,-8.968260443995865,3
346,idm41_7C93,5,sucrose_high,3,0.0,127.4928704,93.2838478,0.133333333,-16.65547478786291,3
347,idm41_7C93,6,sucrose_high,3,0.0,126.3103579,92.90839076,0.2,-15.519751081984348,3
332,idm41_C8C3,1,sucrose_high,2,2.366666667,90.25518654,100.2645448,2.233333333,-1.045144243529295,4
333,idm41_C8C3,2,sucrose_high,2,0.0,96.33940709,98.93683298,3.733333333,-3.5999588047627267,4
